month_end,pair,country,price,for_policy_rate,for_rate_3m,for_yield_10y,for_curve_slope,for_cpi_yoy_pct,for_unemployment_rate,for_rate_change_3m,us_policy_rate,us_rate_3m,us_yield_10y,us_curve_slope,us_cpi_yoy_pct,us_unemployment_rate,us_rate_change_3m,vix_level,us_equity_1m_return,own_return_1m,own_return_3m,own_return_12m,fwd_logret_1m,y_1m,fwd_logret_3m,y_3m
2002-07-31,EURUSD,EZ,0.9796,3.3017,3.41,5.02740760869565,1.6174076086956495,,,-0.014499999999999957,1.73,1.79,4.65,2.8600000000000003,1.0118043844856484,,-0.020000000000000018,32.03,-10.484237332184222,-0.6106267701242661,8.45273642191804,11.269189341029598,0.0010203041391202011,1,0.008639582122904391,1.0
2002-07-31,GBPUSD,GB,1.5625,3.861,4.06054,5.0027,0.9421600000000003,,,0.10900000000000043,1.73,1.79,4.65,2.8600000000000003,1.0118043844856484,,-0.020000000000000018,32.03,-10.484237332184222,2.462061518224712,7.0250805211067355,9.197494787887555,-0.009581758784198646,0,0.00031994881092001215,1.0
2002-07-31,JPYUSD,JP,0.008349336227769892,0.00178,0.09,1.296,1.206,,,0.0002999999999999999,1.73,1.79,4.65,2.8600000000000003,1.0118043844856484,,-0.020000000000000018,32.03,-10.484237332184222,0.0667723920978247,6.996648659647775,4.274050034288646,0.008468587063855892,1,-0.024820899039935007,0.0
2002-07-31,NOKUSD,NO,0.13123359580052493,7.19,7.25,6.56,-0.6900000000000004,,,0.3600000000000003,1.73,1.79,4.65,2.8600000000000003,1.0118043844856484,,-0.020000000000000018,32.03,-10.484237332184222,-1.2678458259770764,9.80503971620239,18.133682013141517,0.01100521775942953,1,0.02182435464972965,1.0
2002-07-31,NZDUSD,NZ,0.4685,5.73,6.0,6.54,0.54,,,0.6200000000000001,1.73,1.79,4.65,2.8600000000000003,1.0118043844856484,,-0.020000000000000018,32.03,-10.484237332184222,-3.667252222201678,4.653017983758756,12.8755500236442,-0.0012815038063064277,0,0.03584913806681145,1.0
2002-07-31,SEKUSD,SE,0.10509721492380451,2.0,4.26,5.37,1.1100000000000003,,,0.020000000000000018,1.73,1.79,4.65,2.8600000000000003,1.0118043844856484,,-0.020000000000000018,32.03,-10.484237332184222,-3.2905436442403957,7.733075927890631,11.034021406236771,0.012159811472154392,1,0.034916798594770704,1.0
2002-08-31,AUDUSD,AU,0.5495,4.75,4.96,5.64840909090909,0.6884090909090901,,,0.30434782608695965,1.74,1.73,4.26,2.53,1.4092446448703555,,-0.010000000000000009,32.64,0.9354856223715791,0.9140831470660915,-2.9585304359506903,4.048083343205389,-0.01208363293227055,0,0.01910656537211075,1.0
2002-08-31,CADUSD,CA,0.6416426050689766,2.7436619047619,2.83,5.12047619047619,2.2904761904761903,,,0.4969982683982601,1.74,1.73,4.26,2.53,1.4092446448703555,,-0.010000000000000009,32.64,0.9354856223715791,1.6545079923583728,-2.0091408161641233,-0.6889252371032994,-0.017680440207017978,0,-0.004673055266422199,0.0
2002-08-31,CHFUSD,CH,0.6663557006730193,0.6,0.668342047619048,3.192,2.523657952380952,,,-0.43000000000000005,1.74,1.73,4.26,2.53,1.4092446448703555,,-0.010000000000000009,32.64,0.9354856223715791,-1.1662330572377089,4.469799414273123,10.677219285795625,0.01673145027767753,1,0.0098437196242393,1.0
2002-08-31,EURUSD,EZ,0.9806,3.2927,3.35190909090909,4.73105454545455,1.3791454545454602,,,-0.017300000000000093,1.74,1.73,4.26,2.53,1.4092446448703555,,-0.010000000000000009,32.64,0.9354856223715791,0.10203041391202011,4.879526310146078,7.581953503965404,0.007416848833295386,1,0.012767424416878611,1.0
2002-08-31,GBPUSD,GB,1.5476,4.1371,3.98654,4.746,0.7594600000000002,,,0.20980000000000043,1.74,1.73,4.26,2.53,1.4092446448703555,,-0.010000000000000009,32.64,0.9354856223715791,-0.9581758784198646,5.655804372034645,6.445236994217002,0.014370275515995845,1,0.004963109224156437,1.0
2002-08-31,JPYUSD,JP,0.00842034355001684,0.00186,0.07,1.255,1.1849999999999998,,,0.0004800000000000002,1.74,1.73,4.26,2.53,1.4092446448703555,,-0.010000000000000009,32.64,0.9354856223715791,0.8468587063855892,4.422475363229683,-0.00842069808086876,-0.024782973170219158,0,-0.03280068772338662,0.0
2002-08-31,NOKUSD,NO,0.13268582650001326,7.23,7.26,6.31,-0.9500000000000002,,,0.4500000000000002,1.74,1.73,4.26,2.53,1.4092446448703555,,-0.010000000000000009,32.64,0.9354856223715791,1.100521775942953,5.998284092275563,16.233978758704602,0.016940712631129617,1,0.02725008228999104,1.0
2002-08-31,NZDUSD,NZ,0.4679,5.75,5.87,6.33,0.45999999999999996,,,0.3600000000000003,1.74,1.73,4.26,2.53,1.4092446448703555,,-0.010000000000000009,32.64,0.9354856223715791,-0.12815038063064277,-2.34459995387446,6.717789207450142,0.004052474352641888,1,0.06234547915248234,1.0
2002-08-31,SEKUSD,SE,0.10638297872340426,4.5,4.19,5.13,0.9399999999999995,,,2.5,1.74,1.73,4.26,2.53,1.4092446448703555,,-0.010000000000000009,32.64,0.9354856223715791,1.2159811472154392,3.5993334003983524,10.407245241787555,0.013494903306689565,1,0.035076122358363104,1.0
2002-09-30,AUDUSD,AU,0.5429,4.75,4.92,5.43571428571429,0.5157142857142905,,,0.02631578947367963,1.75,1.76,3.87,2.1100000000000003,1.6901408450704203,,0.0,39.69,-3.0942746862477,-1.208363293227055,-3.5999184328828537,9.31757858240897,0.021682547529271012,1,0.03546599316716981,1.0
2002-09-30,CADUSD,CA,0.6303977809998108,2.745535,2.805,4.8855,2.0805000000000002,,,0.2617449999999999,1.75,1.76,3.87,2.1100000000000003,1.6901408450704203,,0.0,39.69,-3.0942746862477,-1.7680440207017978,-4.335203681863686,-0.41693048393581233,0.016077618898977686,1,0.00397941339339708,1.0
2002-09-30,CHFUSD,CH,0.6775985905949315,0.65,0.612999095238095,2.761,2.148000904761905,,,-0.37,1.75,1.76,3.87,2.1100000000000003,1.6901408450704203,,0.0,39.69,-3.0942746862477,1.6731450277677529,1.0917286139439875,9.248491837744421,-0.0031796529173796495,0,0.0647282667434968,1.0
2002-09-30,EURUSD,EZ,0.9879,3.3186,3.31014285714286,4.52329023809524,1.2131473809523796,,,-0.029900000000000038,1.75,1.76,3.87,2.1100000000000003,1.6901408450704203,,0.0,39.69,-3.0942746862477,0.7416848833295386,0.23308852711729255,8.224677468778314,0.0002024291504888042,1,0.05953437229154634,1.0
2002-09-30,GBPUSD,GB,1.57,3.8711,3.98872,4.5006,0.5118800000000006,,,0.3705000000000003,1.75,1.76,3.87,2.1100000000000003,1.6901408450704203,,0.0,39.69,-3.0942746862477,1.4370275515995845,2.940913191404432,6.642565096597236,-0.004468567920877187,0,0.024847952396509054,1.0
2002-09-30,JPYUSD,JP,0.00821422704123542,0.00526,0.08,1.129,1.049,,,0.0038599999999999997,1.75,1.76,3.87,2.1100000000000003,1.6901408450704203,,0.0,39.69,-3.0942746862477,-2.478297317021916,-1.5646662185385019,-2.0833222247737204,-0.008506512933571742,0,0.024867180151027846,1.0
2002-09-30,NOKUSD,NO,0.1349527665317139,7.21,7.15,6.06,-1.0900000000000007,,,0.3600000000000003,1.75,1.76,3.87,2.1100000000000003,1.6901408450704203,,0.0,39.69,-3.0942746862477,1.6940712631129617,1.5267472130788384,18.09711176960831,-0.006121575740829499,0,0.06588896023544266,1.0
2002-09-30,NZDUSD,NZ,0.4698,5.75,5.86,6.17,0.3099999999999996,,,0.25,1.75,1.76,3.87,2.1100000000000003,1.6901408450704203,,0.0,39.69,-3.0942746862477,0.4052474352641888,-3.390155167568132,14.42312593116336,0.03307816752047599,1,0.10899375418936164,1.0
2002-09-30,SEKUSD,SE,0.10782833728703904,4.5,4.17,4.97,0.7999999999999998,,,2.5,1.75,1.76,3.87,2.1100000000000003,1.6901408450704203,,0.0,39.69,-3.0942746862477,1.3494903306689565,-0.725072166356,14.18226206926212,0.009262083815926747,1,0.06446663816302234,1.0
