variant,head,slice,subset,n,mean_predicted,realised,p_low,p_high,gap
with_macro,gbm,test[80:100],all,112,0.5124527215957642,0.5803571428571429,0.5116912126541138,0.5130476951599121,-0.06790442126137874
with_macro,gbm,test[80:100],all,198,0.5151569247245789,0.5151515151515151,0.5131301283836365,0.5159896016120911,5.409573063719364e-06
with_macro,gbm,test[80:100],all,170,0.5181806087493896,0.5294117647058824,0.5160508751869202,0.5188931822776794,-0.011231155956492711
with_macro,gbm,test[80:100],all,141,0.5250449180603027,0.5319148936170213,0.5192275047302246,0.557253360748291,-0.006869975556718533
with_macro,gbm,test[80:100],>=0.52,36,0.43860766291618347,0.4722222222222222,0.39802423119544983,0.4526593089103699,-0.03361455930603874
with_macro,gbm,test[80:100],>=0.52,35,0.4575648307800293,0.5142857142857142,0.4528205692768097,0.4630469083786011,-0.05672088350568494
with_macro,gbm,test[80:100],>=0.52,35,0.4662370979785919,0.45714285714285713,0.4638194441795349,0.46905282139778137,0.00909424083573479
with_macro,gbm,test[80:100],>=0.52,35,0.47158241271972656,0.5142857142857142,0.46935781836509705,0.47443121671676636,-0.04270330156598767
with_macro,gbm,test[80:100],>=0.52,36,0.4764200747013092,0.4722222222222222,0.47472986578941345,0.4772699773311615,0.004197852479086994
with_macro,gbm,test[80:100],>=0.52,36,0.47827449440956116,0.5833333333333334,0.47728726267814636,0.4787648916244507,-0.10505883892377221
with_macro,gbm,test[80:100],>=0.52,62,0.5104292035102844,0.5161290322580645,0.4788278341293335,0.5213794112205505,-0.005699828747780078
with_macro,gbm,test[80:100],>=0.52,7,0.5214519500732422,0.42857142857142855,0.5214100480079651,0.5217034220695496,0.09288052150181364
with_macro,gbm,test[80:100],>=0.52,35,0.5246100425720215,0.45714285714285713,0.5217395424842834,0.5274153351783752,0.06746718542916436
with_macro,gbm,test[80:100],>=0.52,36,0.5337256193161011,0.6111111111111112,0.5274212956428528,0.557253360748291,-0.07738549179501009
with_macro,lstm,test[80:100],all,172,0.40527332522148307,0.42441860465116277,0.32921117544174194,0.43066948652267456,-0.019145279429679696
with_macro,lstm,test[80:100],all,171,0.4457771603824102,0.47368421052631576,0.43092086911201477,0.4566081166267395,-0.027907050143905543
with_macro,lstm,test[80:100],all,171,0.46483290090895535,0.5321637426900585,0.4566406309604645,0.472915381193161,-0.06733084178110316
with_macro,lstm,test[80:100],all,171,0.47984153590007134,0.49122807017543857,0.473065048456192,0.4853217899799347,-0.011386534275367233
with_macro,lstm,test[80:100],all,171,0.49038370119200814,0.47953216374269003,0.48540034890174866,0.4959367513656616,0.010851537449318105
with_macro,lstm,test[80:100],all,171,0.5006338600178211,0.45614035087719296,0.4959949553012848,0.5051196813583374,0.04449350914062811
