scale,arm,horizon,model,seed,profit_accuracy,n_transactions,n_test_rows,transaction_rate,accuracy_3class,threshold_scope,threshold_tau,threshold_upper_bound,iter_selection_block,hybrid_selection_block,iters_self,iters_me,iters_ti,min_conf,tie_break
primary,A4,1,ME_TI_LSTM,46,0.5104602510460251,239,243,0.9835390946502057,0.3333333333333333,full_series,0.00226,0.009539999999999882,test,test,50,,,,
primary,A4,1,HYBRID,46,0.5220125786163522,159,243,0.654320987654321,0.3786008230452675,full_series,0.00226,0.009539999999999882,test,test,,50,50,0.45,ti
primary,A0,3,ME_LSTM,42,0.46502057613168724,243,243,1.0,0.26337448559670784,train_only,0.00421,0.017950000000000133,val,val,50,,,,
primary,A0,3,TI_LSTM,42,0.4742857142857143,175,243,0.720164609053498,0.3333333333333333,train_only,0.00421,0.017950000000000133,val,val,50,,,,
primary,A0,3,ME_TI_LSTM,42,0.5535714285714286,112,243,0.4609053497942387,0.35390946502057613,train_only,0.00421,0.017950000000000133,val,val,100,,,,
primary,A0,3,HYBRID,42,0.4742857142857143,175,243,0.720164609053498,0.34156378600823045,train_only,0.00421,0.017950000000000133,val,val,,50,50,0.0,ti
primary,A1,3,ME_LSTM,42,0.46502057613168724,243,243,1.0,0.2674897119341564,full_series,0.00391,0.018209999999999837,val,val,50,,,,
primary,A1,3,TI_LSTM,42,0.4742857142857143,175,243,0.720164609053498,0.3333333333333333,full_series,0.00391,0.018209999999999837,val,val,50,,,,
primary,A1,3,ME_TI_LSTM,42,0.49382716049382713,243,243,1.0,0.3333333333333333,full_series,0.00391,0.018209999999999837,val,val,50,,,,
primary,A1,3,HYBRID,42,0.4742857142857143,175,243,0.720164609053498,0.34156378600823045,full_series,0.00391,0.018209999999999837,val,val,,50,50,0.0,ti
primary,A2,3,ME_LSTM,42,0.46502057613168724,243,243,1.0,0.26337448559670784,train_only,0.00421,0.017950000000000133,test,val,50,,,,
primary,A2,3,TI_LSTM,42,0.4742857142857143,175,243,0.720164609053498,0.3333333333333333,train_only,0.00421,0.017950000000000133,test,val,50,,,,
primary,A2,3,ME_TI_LSTM,42,0.6153846153846154,91,243,0.37448559670781895,0.3868312757201646,train_only,0.00421,0.017950000000000133,test,val,150,,,,
primary,A2,3,HYBRID,42,0.4742857142857143,175,243,0.720164609053498,0.34156378600823045,train_only,0.00421,0.017950000000000133,test,val,,50,50,0.0,ti
primary,A3,3,ME_LSTM,42,0.46502057613168724,243,243,1.0,0.26337448559670784,train_only,0.00421,0.017950000000000133,val,test,50,,,,
primary,A3,3,TI_LSTM,42,0.4742857142857143,175,243,0.720164609053498,0.3333333333333333,train_only,0.00421,0.017950000000000133,val,test,50,,,,
primary,A3,3,ME_TI_LSTM,42,0.5535714285714286,112,243,0.4609053497942387,0.35390946502057613,train_only,0.00421,0.017950000000000133,val,test,100,,,,
primary,A3,3,HYBRID,42,0.6607142857142857,56,243,0.23045267489711935,0.35802469135802467,train_only,0.00421,0.017950000000000133,val,test,,50,50,0.5,ti
primary,A4,3,ME_LSTM,42,0.46502057613168724,243,243,1.0,0.2674897119341564,full_series,0.00391,0.018209999999999837,test,test,50,,,,
primary,A4,3,TI_LSTM,42,0.4742857142857143,175,243,0.720164609053498,0.3333333333333333,full_series,0.00391,0.018209999999999837,test,test,50,,,,
primary,A4,3,ME_TI_LSTM,42,0.49382716049382713,243,243,1.0,0.3333333333333333,full_series,0.00391,0.018209999999999837,test,test,50,,,,
primary,A4,3,HYBRID,42,0.6607142857142857,56,243,0.23045267489711935,0.34156378600823045,full_series,0.00391,0.018209999999999837,test,test,,50,50,0.5,ti
primary,A0,3,ME_LSTM,43,0.46502057613168724,243,243,1.0,0.26337448559670784,train_only,0.00421,0.017950000000000133,val,val,50,,,,
primary,A0,3,TI_LSTM,43,0.4711111111111111,225,243,0.9259259259259259,0.3004115226337449,train_only,0.00421,0.017950000000000133,val,val,50,,,,
primary,A0,3,ME_TI_LSTM,43,0.46502057613168724,243,243,1.0,0.26337448559670784,train_only,0.00421,0.017950000000000133,val,val,50,,,,
primary,A0,3,HYBRID,43,0.4711111111111111,225,243,0.9259259259259259,0.3004115226337449,train_only,0.00421,0.017950000000000133,val,val,,50,50,0.0,ti
primary,A1,3,ME_LSTM,43,0.46502057613168724,243,243,1.0,0.2674897119341564,full_series,0.00391,0.018209999999999837,val,val,50,,,,
primary,A1,3,TI_LSTM,43,0.4711111111111111,225,243,0.9259259259259259,0.2962962962962963,full_series,0.00391,0.018209999999999837,val,val,50,,,,
primary,A1,3,ME_TI_LSTM,43,0.46502057613168724,243,243,1.0,0.2674897119341564,full_series,0.00391,0.018209999999999837,val,val,50,,,,
primary,A1,3,HYBRID,43,0.4711111111111111,225,243,0.9259259259259259,0.2962962962962963,full_series,0.00391,0.018209999999999837,val,val,,50,50,0.0,ti
primary,A2,3,ME_LSTM,43,0.46502057613168724,243,243,1.0,0.26337448559670784,train_only,0.00421,0.017950000000000133,test,val,50,,,,
primary,A2,3,TI_LSTM,43,0.4711111111111111,225,243,0.9259259259259259,0.3004115226337449,train_only,0.00421,0.017950000000000133,test,val,50,,,,
primary,A2,3,ME_TI_LSTM,43,0.46502057613168724,243,243,1.0,0.26337448559670784,train_only,0.00421,0.017950000000000133,test,val,50,,,,
primary,A2,3,HYBRID,43,0.4711111111111111,225,243,0.9259259259259259,0.3004115226337449,train_only,0.00421,0.017950000000000133,test,val,,50,50,0.0,ti
primary,A3,3,ME_LSTM,43,0.46502057613168724,243,243,1.0,0.26337448559670784,train_only,0.00421,0.017950000000000133,val,test,50,,,,
