month_end,pair,country,asof,price,eur_dem_splice,for_policy_rate,for_rate_3m,for_yield_10y,for_curve_slope,for_rate_change_3m,for_rate_change_12m,us_policy_rate,us_rate_3m,us_yield_10y,us_curve_slope,us_rate_change_3m,us_rate_change_12m,vix_level,us_equity_12m_return,own_return_1m,own_return_3m,own_return_12m,fwd_logret_1m,y
2015-09-30,NZDUSD,NZ,2015-09-30,0.639,0,2.76,2.85,3.29,0.43999999999999995,-0.4900000000000002,-0.7000000000000002,0.14,0.27,2.17,1.9,0.010000000000000009,0.05000000000000002,24.5,-8.950061481874327,0.6436948201130555,-5.8947804795416054,-19.784981912050988,0.05717580196907324,1
2015-09-30,SEKUSD,SE,2015-09-30,0.11917246639336448,0,-0.25,-0.48,0.71,1.19,-0.1,-0.6,0.14,0.27,2.17,1.9,0.010000000000000009,0.05000000000000002,24.5,-8.950061481874327,0.9878116810715376,-1.16873472210699,-15.10074855216117,-0.011964557476374704,0
2015-10-31,AUDUSD,AU,2015-10-30,0.7133,0,2.0,2.15,2.657,0.5070000000000001,0.0,-0.5,0.12,0.25,2.07,1.8199999999999998,-0.010000000000000009,0.03,15.07,-1.3987666830049816,1.5968685258181459,-2.7516426681557404,-20.899656757314037,0.01419845678754611,1
2015-10-31,CADUSD,CA,2015-10-30,0.7644091117566121,0,0.5001,0.4025,1.46333333333333,1.06083333333333,-0.10503181818181806,-0.5005727272727301,0.12,0.25,2.07,1.8199999999999998,-0.010000000000000009,0.03,15.07,-1.3987666830049816,2.3718915392937023,-0.2679017255410032,-14.891546494264196,-0.01892992090647222,0
2015-10-31,CHFUSD,CH,2015-10-30,1.0144045445323595,0,-0.9,-0.845,-0.272,0.573,0.09999999999999998,-0.8,0.12,0.25,2.07,1.8199999999999998,-0.010000000000000009,0.03,15.07,-1.3987666830049816,-0.8659826926487335,-2.2777223530561095,-2.4127241908922112,-0.04211148535012692,0
2015-10-31,EURUSD,EZ,2015-10-30,1.1042,0,-0.1389,-0.0535909090909091,1.20240141361243,1.255992322703339,-0.021199999999999997,-0.1344,0.12,0.25,2.07,1.8199999999999998,-0.010000000000000009,0.03,15.07,-1.3987666830049816,-1.0808968504388963,0.12686907003026243,-12.641958504612388,-0.04444352957711149,0
2015-10-31,GBPUSD,GB,2015-10-30,1.5445,0,0.4622,0.58006,1.846,1.26594,0.007299999999999973,0.031399999999999983,0.12,0.25,2.07,1.8199999999999998,-0.010000000000000009,0.03,15.07,-1.3987666830049816,2.1531540883302447,-1.2162703427593624,-3.5240893916029914,-0.026306085762455078,0
2015-10-31,JPYUSD,JP,2015-10-30,0.008285004142502071,0,0.08,0.169,0.3,0.13099999999999998,0.009999999999999995,0.020000000000000004,0.12,0.25,2.07,1.8199999999999998,-0.010000000000000009,0.03,15.07,-1.3987666830049816,-0.7400973451678006,2.648944943047571,-7.4006008070481855,-0.020663247482938907,0
2015-10-31,NOKUSD,NO,2015-10-30,0.11814326051770377,0,0.74,1.11,1.57,0.45999999999999996,-0.24,-0.75,0.12,0.25,2.07,1.8199999999999998,-0.010000000000000009,0.03,15.07,-1.3987666830049816,0.7251270722556935,-3.948491638239826,-22.644815606078982,-0.02560190216726088,0
2015-10-31,NZDUSD,NZ,2015-10-30,0.6766,0,2.68,2.86,3.34,0.48,-0.3899999999999997,-0.7399999999999998,0.12,0.25,2.07,1.8199999999999998,-0.010000000000000009,0.03,15.07,-1.3987666830049816,5.717580196907324,2.1059698486230793,-13.964626783178357,-0.02878759511648904,0
